HRS,D,T2,T_up2,T_low2,log_M2,log_M_up2,log_M_low2,beta,beta_up,beta_low,T,T_up,T_low,log_M,log_M_up,log_M_low
HRS-1,16.79,21.7,1,1,5.93,0.07,0.07,2,0.5,0.5,21.5,3.8,3.1,5.94,0.15,0.14
HRS-2,18.44,24,0.6,0.6,6.27,0.04,0.04,2.3,0.3,0.3,21.6,1.9,1.6,6.36,0.07,0.07
HRS-5,16.71,22.4,0.4,0.4,6.62,0.02,0.02,2.2,0.2,0.2,20.9,1,1,6.68,0.05,0.04
HRS-6,18.89,13.9,0.8,0.8,6.8,0.11,0.11,1.4,1,0.8,16.6,5.8,4,6.57,0.37,0.33
HRS-7,18.77,25.7,0.3,0.3,6.26,0.01,0.01,2.2,0.1,0.1,23.9,0.8,0.8,6.31,0.03,0.03
HRS-8,19.37,15.3,0.8,0.7,7.48,0.06,0.06,1.3,0.4,0.3,20.9,3.6,3.2,7.11,0.18,0.16
HRS-9,20.21,21.8,0.9,0.9,6.53,0.06,0.05,2.5,0.4,0.4,18.9,2.4,2,6.66,0.12,0.12
HRS-11,18.93,,,,,,,1.6,0.1,0.1,23.7,1,1,6.82,0.04,0.04
HRS-12,19.89,23.6,0.7,0.7,5.72,0.05,0.05,1.2,0.4,0.3,31.9,6,4.3,5.51,0.11,0.12
HRS-13,22.47,21.8,0.3,0.3,7.57,0.02,0.02,1.9,0.1,0.1,22.5,0.7,0.7,7.54,0.03,0.03
HRS-15,18.57,19.2,0.7,0.7,7.6,0.06,0.05,1.7,0.3,0.3,20.8,2.7,2.3,7.52,0.12,0.12
HRS-16,18,19.7,0.4,0.4,7.17,0.03,0.03,1.9,0.2,0.2,20,1.3,1.2,7.16,0.06,0.06
HRS-17,18.3,21.2,0.4,0.4,7.17,0.03,0.03,1.7,0.1,0.1,23.6,1.4,1.3,7.08,0.05,0.05
HRS-18,22.91,20.7,0.7,0.7,6.61,0.05,0.05,1.9,0.3,0.3,21.3,2.3,2,6.59,0.1,0.09
HRS-19,23.29,21,0.6,0.6,6.99,0.04,0.04,1.5,0.2,0.2,25.3,2.7,2.3,6.83,0.09,0.09
HRS-21,16.89,,,,,,,0.8,0.5,0.4,29.3,8.8,5.7,5.85,0.19,0.2
HRS-22,20.2,20.4,0.9,0.8,6.15,0.1,0.1,1.2,0.6,0.6,26.1,7.4,4.6,5.96,0.18,0.21
HRS-23,21.44,23.3,0.3,0.3,7.31,0.02,0.02,1.9,0.1,0.1,24.1,0.8,0.8,7.28,0.03,0.03
HRS-24,22.64,20.5,0.5,0.5,7.5,0.03,0.03,1.8,0.2,0.2,21.8,1.4,1.3,7.44,0.06,0.06
HRS-26,22.41,,,,,,,0.9,0.3,0.3,29.2,4.9,3.7,6.01,0.11,0.12
HRS-27,24.77,24.5,0.6,0.6,6.56,0.03,0.03,2.2,0.2,0.2,23.3,1.9,1.7,6.6,0.07,0.07
HRS-28,19.03,21.4,0.3,0.3,6.76,0.02,0.02,,,,,,,,,
HRS-29,15.73,20.2,0.6,0.6,6.56,0.05,0.05,1.6,0.3,0.3,23.2,2.7,2.3,6.44,0.1,0.1
HRS-30,15.79,19.5,0.7,0.7,6.71,0.06,0.06,1.4,0.3,0.3,24.2,3.6,2.9,6.51,0.12,0.12
HRS-31,19.63,23.1,0.7,0.7,7.06,0.04,0.04,1.3,0.3,0.3,29.4,4.1,3.2,6.87,0.1,0.1
HRS-33,20.46,21.3,0.4,0.4,6.98,0.03,0.03,1.8,0.2,0.2,22.7,1.4,1.3,6.93,0.05,0.05
HRS-34,16.14,19.1,0.5,0.5,7.07,0.04,0.04,1.6,0.2,0.2,21.8,1.6,1.5,6.95,0.07,0.07
HRS-36,21.94,26.3,0.4,0.4,7.33,0.02,0.02,2,0.1,0.1,26.3,1.2,1.1,7.33,0.04,0.04
HRS-37,19.61,22.6,0.4,0.4,6.73,0.03,0.03,2,0.2,0.2,22.5,1.5,1.3,6.73,0.06,0.06
HRS-38,20.27,,,,,,,1.2,0.2,0.2,26.2,3.2,2.7,6.41,0.1,0.1
HRS-39,22.24,18.3,1,1.1,6.65,0.08,0.07,1.1,0.4,0.4,24.7,4.4,3.5,6.37,0.14,0.14
HRS-40,22.63,23.7,0.4,0.4,6.71,0.02,0.02,1.8,0.2,0.2,25.5,1.7,1.5,6.65,0.05,0.05
HRS-41,18.61,18.8,0.7,0.7,6.56,0.05,0.05,1.4,0.3,0.3,23.9,3.2,2.7,6.33,0.12,0.11
HRS-42,17.04,20.5,0.7,0.7,7.32,0.05,0.05,1.7,0.3,0.3,22.7,2.4,2.1,7.22,0.1,0.1
HRS-44,16.01,23.3,0.6,0.6,6.17,0.04,0.04,1.3,0.3,0.2,30.1,3.8,3,5.97,0.08,0.09
HRS-46,21.34,24.5,0.4,0.4,6.62,0.02,0.02,2.1,0.2,0.2,24,1.4,1.2,6.64,0.05,0.05
HRS-47,21.53,20.2,0.9,0.9,6.83,0.06,0.06,1.3,0.3,0.3,25.3,4,3.1,6.63,0.12,0.13
HRS-48,16.5,21.5,0.5,0.5,7.53,0.04,0.04,1.9,0.3,0.3,22,1.9,1.7,7.51,0.07,0.07
HRS-50,21.43,,,,,,,2.2,0.1,0.1,22.9,0.7,0.7,7.31,0.03,0.03
HRS-51,18.56,,,,,,,1.4,0.2,0.2,26,2.1,1.8,6.65,0.07,0.07
HRS-52,17.2,20.9,1.3,1.4,6.11,0.09,0.09,1.8,0.5,0.5,22.1,4.6,3.6,6.05,0.17,0.17
HRS-53,15.14,,,,,,,1.5,0.1,0.1,24.3,1.5,1.4,6.86,0.06,0.06
HRS-54,17.77,20.1,0.9,0.9,6.71,0.06,0.05,1.8,0.3,0.3,21.9,3,2.6,6.63,0.13,0.12
HRS-55,16.54,20.9,0.4,0.4,7.05,0.03,0.03,1.9,0.2,0.2,21.4,1.3,1.2,7.02,0.06,0.06
HRS-57,16.51,20.9,0.3,0.3,7.25,0.02,0.02,2.1,0.1,0.1,20.4,1,0.9,7.28,0.05,0.05
HRS-59,24.53,19.6,0.4,0.4,7.24,0.04,0.04,1.6,0.2,0.2,22.2,1.8,1.6,7.12,0.07,0.07
HRS-60,15.14,21.3,0.4,0.4,6.92,0.03,0.03,2,0.1,0.1,21.1,1.2,1.1,6.92,0.06,0.05
HRS-61,17.39,19.3,0.8,0.8,6.21,0.06,0.06,1.3,0.4,0.3,24,3.6,2.9,6.02,0.12,0.12
HRS-62,22.44,,,,,,,1,0.3,0.3,26.8,3.9,3.1,6.73,0.11,0.11
HRS-63,18.41,18.7,0.5,0.5,7.39,0.04,0.04,1.8,0.2,0.2,20.1,1.6,1.5,7.31,0.08,0.08
HRS-64,17.33,17.7,0.9,0.9,6.65,0.08,0.07,1.3,0.4,0.3,23.4,4,3.3,6.36,0.15,0.15
HRS-65,19.76,18.5,1.2,1.2,6.77,0.09,0.08,1,0.4,0.4,27.6,6.4,4.6,6.4,0.17,0.17
HRS-66,20.97,23.9,0.2,0.2,7.33,0.01,0.01,,,,,,,,,
HRS-67,20.51,17.9,0.9,0.9,6.65,0.08,0.08,1.2,0.4,0.4,23.2,4.1,3.2,6.4,0.15,0.15
HRS-69,16.73,18,1.2,1.2,7.04,0.1,0.09,1.5,0.5,0.5,21.5,5.1,3.8,6.85,0.22,0.21
HRS-70,23.1,20.7,0.6,0.6,6.64,0.04,0.04,1.7,0.2,0.2,23,2,1.8,6.55,0.08,0.08
HRS-72,22.53,24.7,1,0.9,6.31,0.06,0.06,1.5,0.5,0.5,29.5,7.5,5,6.19,0.14,0.16
HRS-73,15,19.3,0.3,0.3,7.77,0.03,0.03,2.2,0.2,0.2,18.3,1.1,1,7.83,0.07,0.07
HRS-74,15.83,23.9,0.4,0.4,6.95,0.03,0.03,2,0.2,0.2,24.1,1.6,1.4,6.94,0.05,0.05
HRS-75,18.33,15.6,0.9,0.9,6.34,0.11,0.1,1.6,0.7,0.6,17.4,4,3.2,6.21,0.25,0.22
HRS-76,15.27,18.8,1,1,6.19,0.08,0.08,1.1,0.4,0.4,26.2,5,3.8,5.89,0.14,0.15
HRS-77,20.83,22.4,0.3,0.3,7.93,0.01,0.01,2.2,0.1,0.1,21.3,0.7,0.7,7.98,0.03,0.03
HRS-78,18.13,19.8,0.5,0.5,6.67,0.05,0.05,1.4,0.4,0.4,24,3.5,2.7,6.49,0.12,0.13
HRS-79,21.54,19.9,1,1,6.49,0.08,0.08,1.4,0.6,0.6,23.9,6.2,4.1,6.33,0.18,0.2
HRS-80,17,17.7,1.1,1.1,6.84,0.09,0.09,1.7,0.6,0.6,19.3,4.2,3.3,6.75,0.21,0.2
HRS-81,17,22.4,0.3,0.3,7.14,0.02,0.02,2,0.1,0.1,22.8,1,0.9,7.12,0.04,0.04
HRS-82,17,23.4,1,1,6.09,0.06,0.06,1.7,0.4,0.4,25.7,4.3,3.4,6.02,0.12,0.13
HRS-83,17.6,19.8,1.3,1.4,6,0.1,0.1,0.9,0.4,0.4,30.4,8.6,5.7,5.65,0.18,0.18
HRS-84,17,21.2,0.4,0.4,6.4,0.03,0.03,2,0.2,0.2,21,1.3,1.2,6.4,0.06,0.06
HRS-85,15.31,21.4,0.4,0.4,7.36,0.03,0.03,1.8,0.1,0.1,23.2,1.3,1.2,7.29,0.05,0.05
HRS-86,17,,,,,,,1.2,0.2,0.2,26.2,3.4,2.9,6.86,0.11,0.11
HRS-87,17,22.8,1.1,1,6.15,0.07,0.07,2,0.5,0.5,22.5,4.3,3.2,6.16,0.15,0.15
HRS-88,17,20.5,0.9,0.9,7.26,0.06,0.05,1.3,0.3,0.3,26.3,3.8,3,7.03,0.11,0.11
HRS-89,17,,,,,,,1.1,0.1,0.1,24.9,1.5,1.4,7.19,0.06,0.05
HRS-91,17,19.6,0.3,0.3,7.81,0.03,0.03,2,0.2,0.2,19.8,1.2,1.1,7.8,0.06,0.06
HRS-92,17,19.4,0.6,0.6,6.59,0.05,0.05,1.6,0.3,0.3,22.1,2.4,2,6.46,0.1,0.1
HRS-93,15.59,21,0.8,0.8,6.4,0.07,0.07,2,0.5,0.5,20.9,3.6,2.8,6.4,0.14,0.15
HRS-94,17,,,,,,,1,0.2,0.2,23.5,1.9,1.7,6.87,0.07,0.07
HRS-95,17,24.5,0.3,0.3,6.64,0.02,0.02,2.2,0.1,0.1,22.9,0.9,0.9,6.69,0.04,0.04
HRS-96,17,22.3,0.3,0.3,7.31,0.02,0.02,2.1,0.1,0.1,21.3,0.8,0.8,7.35,0.04,0.04
HRS-97,17,18.7,0.3,0.3,7.77,0.02,0.02,1.9,0.1,0.1,19.1,0.8,0.8,7.75,0.04,0.04
HRS-98,17,,,,,,,1.4,0.2,0.2,22.7,1.5,1.3,6.8,0.06,0.06
HRS-99,17,22.5,0.4,0.4,6,0.03,0.03,2.4,0.2,0.2,20.2,1.3,1.2,6.09,0.06,0.06
HRS-100,17,,,,,,,2.3,0.1,0.1,19.8,0.5,0.5,7.17,0.03,0.03
HRS-102,17,,,,,,,2.3,0.1,0.1,21,1,0.9,8.06,0.04,0.05
HRS-106,23,20.5,1.2,1.2,6.74,0.08,0.08,1.7,0.5,0.5,22.8,4.7,3.6,6.65,0.17,0.17
HRS-107,17,19.2,0.6,0.6,6.4,0.05,0.05,1.6,0.3,0.3,21.8,2.6,2.2,6.29,0.1,0.1
HRS-108,23,22.6,0.9,0.9,6.24,0.06,0.06,2.2,0.5,0.4,21.4,3.1,2.5,6.29,0.12,0.11
HRS-109,17,,,,,,,1.2,0.2,0.2,24.5,2.2,1.9,6.56,0.08,0.08
HRS-110,17,,,,,,,1.4,0.2,0.2,25.4,1.9,1.7,6.76,0.06,0.06
HRS-111,17,,,,,,,2.3,0.1,0.1,19.3,0.5,0.4,7.43,0.02,0.02
HRS-112,23,21.4,0.8,0.8,6.34,0.06,0.06,1.6,0.4,0.4,24.2,3.7,2.9,6.23,0.12,0.12
HRS-113,17,19.7,0.2,0.2,7.63,0.01,0.01,2.2,0.1,0.1,18.7,0.5,0.5,7.69,0.03,0.03
HRS-114,17,22.9,0.3,0.3,7.91,0.02,0.02,2,0.1,0.1,23.2,1,0.9,7.91,0.04,0.04
HRS-115,17,21.6,0.6,0.6,6.04,0.04,0.05,1.8,0.3,0.3,23.1,2.5,2.1,5.99,0.09,0.09
HRS-117,23,20.2,0.4,0.4,7.24,0.03,0.03,2.3,0.2,0.2,18.7,1.1,1,7.31,0.06,0.06
HRS-118,17,20.4,1.1,1.1,6.32,0.08,0.08,1.2,0.5,0.4,26.7,6.2,4.3,6.09,0.16,0.17
HRS-119,17,22.3,0.5,0.5,6.82,0.04,0.04,2.6,0.3,0.3,19.2,1.6,1.4,6.95,0.08,0.08
HRS-120,17,20.3,0.4,0.4,6.92,0.04,0.04,2.4,0.3,0.3,18.4,1.4,1.3,7.01,0.07,0.07
HRS-121,23,20.4,0.2,0.2,7.25,0.02,0.02,2.1,0.1,0.1,20.1,0.7,0.6,7.27,0.03,0.03
HRS-122,17,21.1,0.3,0.3,8.09,0.03,0.03,2.2,0.2,0.2,19.9,1.1,1.1,8.15,0.05,0.05
HRS-123,17,19,0.7,0.7,6.67,0.05,0.05,2,0.3,0.3,19.2,2.1,1.9,6.66,0.12,0.11
HRS-124,17,18.9,0.7,0.7,6.98,0.05,0.05,1.8,0.4,0.3,19.9,2.4,2,6.93,0.12,0.11
HRS-127,23,20.4,0.3,0.3,7.14,0.02,0.02,2,0.1,0.1,20.6,0.9,0.8,7.13,0.04,0.04
HRS-128,23,17.7,0.5,0.5,6.76,0.04,0.04,2,0.3,0.3,17.8,1.7,1.5,6.76,0.1,0.1
HRS-130,17,20.5,0.7,0.7,6.52,0.05,0.05,1.7,0.3,0.3,22.6,2.7,2.3,6.44,0.1,0.1
HRS-131,23,19.1,0.8,0.8,6.55,0.07,0.07,2.5,0.6,0.5,16.7,2.7,2.3,6.69,0.17,0.16
HRS-132,23,,,,,,,0.8,0.4,0.4,33.8,8.9,5.8,6.12,0.15,0.17
HRS-133,17.9,,,,,,,0.6,0.3,0.3,27.1,4.9,4,6.53,0.15,0.14
HRS-134,23,20.8,0.7,0.7,6.7,0.05,0.05,2.3,0.4,0.4,19.1,2.2,1.9,6.77,0.11,0.11
HRS-136,23,22.4,0.3,0.3,6.75,0.02,0.02,2.4,0.2,0.2,20,1,0.9,6.84,0.05,0.05
HRS-139,23,21.3,0.6,0.6,6.59,0.04,0.04,1.4,0.3,0.3,26.1,3.4,2.7,6.42,0.1,0.1
HRS-140,17,17.4,0.8,0.8,7.01,0.08,0.07,2.1,0.5,0.4,17.1,2.5,2.2,7.03,0.17,0.15
HRS-141,23,18.6,0.3,0.3,7.39,0.03,0.03,2.3,0.3,0.2,17.4,1.1,1,7.45,0.07,0.06
HRS-143,23,,,,,,,1.5,0.1,0.1,23.3,1.2,1.1,7.17,0.05,0.05
HRS-144,17,23.9,0.3,0.3,7.07,0.02,0.02,1.9,0.2,0.2,24.4,1.5,1.3,7.05,0.05,0.05
HRS-146,23,20.1,0.4,0.4,6.87,0.03,0.03,1.5,0.2,0.2,24.1,1.9,1.7,6.71,0.07,0.07
HRS-147,17,17.9,0.5,0.5,6.92,0.04,0.04,1.6,0.2,0.2,21,1.6,1.5,6.76,0.08,0.07
HRS-148,17,,,,,,,1.2,0.2,0.2,24.1,1.9,1.7,6.82,0.07,0.07
HRS-149,17,,,,,,,2.2,0.1,0.1,19.9,0.5,0.5,7.47,0.03,0.02
HRS-151,17,21.1,0.7,0.7,6.68,0.05,0.05,1.7,0.3,0.3,23.3,3.1,2.5,6.6,0.11,0.11
HRS-152,17,24.4,0.4,0.4,6.54,0.02,0.02,2.3,0.2,0.2,22.4,1.4,1.3,6.61,0.05,0.05
